6082;Ville;Heikkinen;1995-05-03;FIN 
6062;Tim;Heinrich;1995-05-06;GER 
6064;Henrik;Heinz;1995-11-23;GER 
7283;Adam;Heliminger;2000-06-18;GER 
6099;Alexander;Henningsen;1994-03-06;NOR 
6950;Ivo-Niklas;Hermansson;2000-06-13;EST 
5901;Michael;Herrmann;1994-02-02;GER 
7000;Jakob;Hess;1999-03-01;SUI 
7303;Yuki;Higashizawa;1998-05-20;JPN 
5064;Tom;Hilde;1987-09-22;NOR 
6707;Fabian;Hinterberger;2000-03-17;AUT 
7706;Thomas;Hirscher;2000-10-01;AUT 
3090;Hlava;Lukas;1984-09-10;CZE 
5751;Ales;Hlebanja;1993-04-18;SLO 
7479;Harald Derås;Høgden;1999-06-03;NOR 
7450;Jan;Hörl;1998-10-16;AUT 
6085;Thomas;Hofer;1996-01-28;AUT 
6843;Andreas;Hoff;1993-02-19;NOR 
6552;Felix;Hoffmann;1997-10-14;GER 
6328;Frantisek;Holik;1998-10-23;CZE 
6669;Simon;Holland-Nell;1998-02-10;GER 
6891;Amadej;Homec;1996-01-01;SLO 
3989;Florian;Horst;1990-05-03;GER 
5197;Shotaro;Hosoda;1991-12-02;JPN 
7623;Eric;Hoyer;2002-05-31;GER 
7244;Dawid;Hreska;1999-10-30;POL 
5053;Robert;Hrgota;1988-08-02;SLO 
7019;Kałojan;Christow;2000-01-03;BUL 
6659;Wiktor;Christow;2000-01-03;BUL 
5945;Daniel;Huber;1993-01-02;AUT 
6093;Stefan;Huber;1994-03-08;AUT 
7005;Simon;Hüttel;1999-08-04;GER 
2563;Tim;Hug;1987-08-11;SUI 
4322;Stefan;Hula;1986-09-29;POL 
7119;Bendik;Hulløen;1996-02-26;NOR 
5891;Jaka;Hvala;1993-07-15;SLO 
7723;Seok-Jae;Hwang;2001-03-05;KOR 
7348;Yanick;Idesheim;2000-09-29;GER 
7719;Ryuusei;Ikeda;2000-10-25;JPN 
6408;Kristjan;Ilves;1996-06-10;EST 
7657;Remo;Imhof;2003-11-19;SUI 
7317;Christian;Inngjerdingen;1996-12-19;SWE 
6758;Alex;Insam;1997-12-19;ITA 
